title,authors,year,venue,theme,source
"News Outlet Tweet IDs","Littman J.; Wrubel L.; Kerchner D.; Bromberg Gaber Y.",2017,Dataset,face-application,fairface-ref
"Deep learning face attributes in the wild (CelebA)","Liu Z.; Luo P.; Wang X.; Tang X.",2015,ICCV,face-dataset,fairface-ref
"Visualizing data using t-SNE","van der Maaten L.; Hinton G.",2008,JMLR,methods,fairface-ref
"Diversity in faces","Merler M.; Ratha N.; Feris R.S.; Smith J.",2019,arXiv,fairness-dataset,fairface-ref
"A data-driven approach to cleaning large face datasets","Ng H.-W.; Winkler S.",2014,ICIP,dataset-cleaning,fairface-ref
"Deep face recognition (VGGFace)","Parkhi O.M.; Vedaldi A.; Zisserman A.",2015,BMVC,face-recognition,fairface-ref
"Actionable auditing: Investigating the impact of publicly naming biased performance results","Raji I.D.; Buolamwini J.",2019,AAAI/ACM AIES,fairness-audit,fairface-ref
"Demographics of news sharing in the US Twittersphere","Reis J.; Kwak H.; An J.; Messias J.; Benevenuto F.",2017,ACM Hypertext,face-application,fairface-ref
"Face alignment at 3000 fps via regressing local binary features","Ren S.; Cao S.; Wei Y.; Sun J.",2014,CVPR,face-alignment,fairface-ref
"MORPH: A longitudinal image database of normal adult age-progression","Ricanek K.; Tesafaye T.",2006,IEEE FGR,face-dataset,fairface-ref
"Deep expectation of real and apparent age from a single image (IMDB-WIKI)","Rothe R.; Timofte R.; Gool L.V.",2016,IJCV,face-attribute,fairface-ref
"InclusiveFaceNet: Improving face attribute detection with race and gender diversity","Ryu H.J.; Adam H.; Mitchell M.",2017,arXiv,fairness-attribute-mitigation,fairface-ref
"Encyclopedia of Race, Ethnicity, and Society","Schaefer R.T.",2008,Sage,domain-theory,fairface-ref
"FaceNet: A unified embedding for face recognition and clustering","Schroff F.; Kalenichenko D.; Philbin J.",2015,CVPR,face-recognition,fairface-ref
"No classification without representation: Assessing geodiversity issues in open data sets","Shankar S.; Halpern Y.; Breck E.; Atwood J.; Wilson J.; Sculley D.",2017,arXiv,fairness-dataset,fairface-ref
"Twitter as Data","Steinert-Threlkeld Z.C.",2018,Cambridge University Press,face-application,fairface-ref
"ConvNets and ImageNet beyond accuracy: Understanding mistakes and uncovering biases","Stock P.; Cisse M.",2018,ECCV,fairness-audit,fairface-ref
"Multi-task learning with low rank attribute embedding","Su C.; Yang F.; Zhang S.; Tian Q.; Davis L.S.; Gao W.",2018,IEEE TPAMI,face-attribute,fairface-ref
"Hybrid deep learning for face verification","Sun Y.; Wang X.; Tang X.",2013,ICCV,face-recognition,fairface-ref
"Deep learning face representation from predicting 10,000 classes","Sun Y.; Wang X.; Tang X.",2014,CVPR,face-recognition,fairface-ref
"Learning tasks for multitask learning: Heterogenous patient populations in the ICU","Suresh H.; Gong J.; Guttag J.V.",2018,ACM SIGKDD,fairness-theory,fairface-ref
"DeepFace: Closing the gap to human-level performance in face verification","Taigman Y.; Yang M.; Ranzato M.; Wolf L.",2014,CVPR,face-recognition,fairface-ref
"Persuasive faces: Generating faces in advertisements","Thomas C.; Kovashka A.",2018,arXiv,generative-augmentation,fairface-ref
"YFCC100M: The new data in multimedia research","Thomee B.; Shamma D.A.; Friedland G.",2015,Communications of the ACM,face-dataset,fairface-ref
"Unbiased look at dataset bias","Torralba A.; Efros A.",2011,CVPR,fairness-dataset,fairface-ref
"Fairness definitions explained","Verma S.; Rubin J.",2018,IEEE/ACM FairWare,fairness-theory,fairface-ref
"How polarized have we become? A multimodal classification of Trump followers and Clinton followers","Wang Y.; Feng Y.; Hong Z.; Berger R.; Luo J.",2017,Social Informatics,face-application,fairface-ref
"Fitzpatrick skin type, individual typology angle, and melanin index in an African population","Wilkes M.; Wright C.Y.; du Plessis J.L.; Reeder A.",2015,JAMA Dermatology,domain-theory,fairface-ref
"Protest activity detection and perceived violence estimation from social media images","Won D.; Steinert-Threlkeld Z.C.; Joo J.",2017,ACM Multimedia,face-application,fairface-ref
"Understanding the political ideology of legislators from social media images","Xi N.; Ma D.; Liou M.; Steinert-Threlkeld Z.C.; Anastasopoulos J.; Joo J.",2019,arXiv,face-application,fairface-ref
"Supervised descent method and its applications to face alignment","Xiong X.; De la Torre F.",2013,CVPR,face-alignment,fairface-ref
"Attribute2Image: Conditional image generation from visual attributes","Yan X.; Yang J.; Sohn K.; Lee H.",2016,ECCV,generative-augmentation,fairface-ref
"WIDER Face: A face detection benchmark","Yang S.; Luo P.; Loy C.-C.; Tang X.",2016,CVPR,face-detection,fairface-ref
"Learning face representation from scratch (CASIA-WebFace)","Yi D.; Lei Z.; Liao S.; Li S.Z.",2014,arXiv,face-dataset,fairface-ref
"Fairness constraints: Mechanisms for fair classification","Zafar M.B.; Valera I.; Rodriguez M.; Gummadi K.P.",2017,AISTATS,fairness-theory,fairface-ref
"Learning fair representations","Zemel R.; Wu Y.; Swersky K.; Pitassi T.; Dwork D.",2013,ICML,fairness-theory,fairface-ref
"Mitigating unwanted biases with adversarial learning","Zhang B.H.; Lemoine B.; Mitchell M.",2018,AAAI/ACM AIES,fairness-debiasing,fairface-ref
"Google Photos tags two African-Americans as gorillas through facial recognition software","Zhang M.",2015,Press,fairness-audit,fairface-ref
"Learning social relation traits from face images","Zhang Z.; Luo P.; Loy C.-C.; Tang X.",2015,ICCV,face-attribute,fairface-ref
"Age progression/regression by conditional adversarial autoencoder","Zhang Z.; Song Y.; Qi H.",2017,CVPR,generative-augmentation,fairface-ref
"AI can be sexist and racist - it's time to make it fair","Zou J.; Schiebinger L.",2018,Nature,fairness-theory,fairface-ref
"HyperExtended LightFace: A Facial Attribute Analysis Framework","Sefik Ilkin Serengil; Alper Özpınar","2021","2021 International Conference on Engineering and Emerging Technologies (ICEET)","","fairface-citing"
"General Facial Representation Learning in a Visual-Linguistic Manner","Yinglin Zheng; Hao Yang; Ting Zhang; Jianmin Bao; Dongdong Chen; Yangyu Huang; Lu Yuan; Dong Chen; Ming Zeng; Fang Wen","2022","2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)","","fairface-citing"
"A survey on bias in visual datasets","Simone Fabbrizzi; Symeon Papadopoulos; Eirini Ntoutsi; Ioannis Kompatsiaris","2022","Computer Vision and Image Understanding","","fairface-citing"
"CelebV-HQ: A Large-Scale Video Facial Attributes Dataset","Hao Zhu; Wayne Wu; Yuan Xu; Liming Jiang; Siwei Tang; Li Zhang; Ziwei Liu; Chen Change Loy","2022","Lecture notes in computer science","","fairface-citing"
"Detecting Harmful Memes and Their Targets","Shraman Pramanick; Dimitar Dimitrov; Rituparna Mukherjee; Shivam Sharma; Md Shad Akhtar; Preslav Nakov; Tanmoy Chakraborty","2021","","","fairface-citing"
"Representation Bias in Data: A Survey on Identification and Resolution Techniques","Nima Shahbazi; Lin Yin; Abolfazl Asudeh; H. V. Jagadish","2023","ACM Computing Surveys","","fairface-citing"
"Understanding and Mitigating Annotation Bias in Facial Expression Recognition","Yunliang Chen; Jungseock Joo","2021","2021 IEEE/CVF International Conference on Computer Vision (ICCV)","","fairface-citing"
"Social Biases through the Text-to-Image Generation Lens","Ranjita Naik; Besmira Nushi","2023","","","fairface-citing"
"A Framework for Understanding Sources of Harm throughout the Machine Learning Life Cycle","Harini Suresh; John V. Guttag","2021","","","fairface-citing"
"Detecting shortcut learning for fair medical AI using shortcut testing","Alexander Brown; Nenad Tomašev; Jan Freyberg; Yuan Liu; Alan Karthikesalingam; Jessica Schrouff","2023","Nature Communications","","fairface-citing"
"Learning From Human Educational Wisdom: A Student-Centered Knowledge Distillation Method","Shunzhi Yang; Jinfeng Yang; MengChu Zhou; Zhenhua Huang; Wei‐Shi Zheng; Xiong Yang; Jin Ren","2024","IEEE Transactions on Pattern Analysis and Machine Intelligence","","fairface-citing"
"GANDiffFace: Controllable Generation of Synthetic Datasets for Face Recognition with Realistic Variations","Pietro Melzi; Christian Rathgeb; Rubén Tolosana; Rubén Vera-Rodríguez; Dominik Lawatsch; Florian Domin; Maxim Schaubert","2023","","","fairface-citing"
"The Spotlight: A General Method for Discovering Systematic Errors in Deep Learning Models","Greg d'Eon; Jason d’Eon; James R. Wright; Kevin Leyton‐Brown","2022","2022 ACM Conference on Fairness, Accountability, and Transparency","","fairface-citing"
"Where Deepfakes Gaze at? Spatial–Temporal Gaze Inconsistency Analysis for Video Face Forgery Detection","Chunlei Peng; Zimin Miao; Decheng Liu; Nannan Wang; Ruimin Hu; Xinbo Gao","2024","IEEE Transactions on Information Forensics and Security","","fairface-citing"
"Applied Artificial Intelligence in Healthcare: A Review of Computer Vision Technology Application in Hospital Settings","Heidi Lindroth; Keivan Nalaie; Roshini Raghu; Ivan N. Ayala; Charles Busch; Anirban Bhattacharyya; Pablo Moreno Franco; Daniel A. Diedrich; Brian W. Pickering; Vitaly Herasevich","2024","Journal of Imaging","","fairface-citing"
"FRCSyn-onGoing: Benchmarking and comprehensive evaluation of real and synthetic data to improve face recognition systems","Pietro Melzi; Rubén Tolosana; Rubén Vera-Rodríguez; Minchul Kim; Christian Rathgeb; Xiaoming Liu; Ivan DeAndres-Tame; Aythami Morales; Julián Fiérrez; Javier Ortega-García; Weisong Zhao; Xiangyu Zhu; Zheyu Yan; Xiaoyu Zhang; Jinlin Wu; Zhen Lei; Suvidha Tripathi; Mahak Kothari; Md Haider Zama; Debayan Deb; Bernardo Biesseck; Pedro Marques‐Vidal; Roger Granada; Guilherme Fickel; Gustavo Führ; David Menotti; Alexander Unnervik; Anjith George; Christophe Ecabert; Hatef Otroshi Shahreza; Parsa Rahimi; Sébastien Marcel; Ioannis Sarridis; Christos Koutlis; Georgia Baltsou; Symeon Papadopoulos; Christos Diou; Nicolò Di Domenico; Guido Borghi; Lorenzo Pellegrini; Enrique Mas-Candela; Ángela Sánchez-Pérez; Andrea Atzori; Fadi Boutros; Naser Damer; Gianni Fenu; Mirko Marras","2024","Information Fusion","","fairface-citing"
"Fairness Testing: A Comprehensive Survey and Analysis of Trends","Zhenpeng Chen; Jie M. Zhang; Max Hort; Mark Harman; Federica Sarro","2024","ACM Transactions on Software Engineering and Methodology","","fairface-citing"
"Improving Fairness in Deepfake Detection","Yan Ju; Shu Hu; Shan Jia; George H. Chen; Siwei Lyu","2024","","","fairface-citing"
"MiVOLO: Multi-input Transformer for Age and Gender Estimation","Maksim Kuprashevich; Irina Tolstykh","2024","Lecture notes in computer science","","fairface-citing"
"WEIRD FAccTs: How Western, Educated, Industrialized, Rich, and Democratic is FAccT?","Ali Akbar Septiandri; Marios Constantinides; Mohammad Tahaei; Daniele Quercia","2023","","","fairface-citing"
"Metrics for Dataset Demographic Bias: A Case Study on Facial Expression Recognition","Iris Dominguez-Catena; Daniel Paternain; Mikel Galar","2024","IEEE Transactions on Pattern Analysis and Machine Intelligence","","fairface-citing"
"How Good Is ChatGPT at Face Biometrics? A First Look Into Recognition, Soft Biometrics, and Explainability","Ivan DeAndres-Tame; Rubén Tolosana; Rubén Vera-Rodríguez; Aythami Morales; Julián Fiérrez; Javier Ortega-García","2024","IEEE Access","","fairface-citing"
"Human-Centric Multimodal Machine Learning: Recent Advances and Testbed on AI-Based Recruitment","Alejandro Peña; Ignacio Serna; Aythami Morales; Julián Fiérrez; Alfonso Ortega; Ainhoa Herrarte Sánchez; Manuel Alcántara Saéz; Javier Ortega-García","2023","SN Computer Science","","fairface-citing"
"Addressing fairness issues in deep learning-based medical image analysis: a systematic review","Zikang Xu; Jun Li; Qingsong Yao; Han Li; Mingyue Zhao; S. Kevin Zhou","2024","npj Digital Medicine","","fairface-citing"
"FedNN: Federated learning on concept drift data using weight and adaptive group normalizations","Myeongkyun Kang; Soopil Kim; Kyong Hwan Jin; Ehsan Adeli; Kilian M. Pohl; Sang Hyun Park","2023","Pattern Recognition","","fairface-citing"
"On Scaling Up a Multilingual Vision and Language Model","Xi Chen; Josip Djolonga; Piotr Padlewski; Basil Mustafa; Soravit Changpinyo; Jialin Wu; Carlos Riquelme Ruiz; Sebastian Goodman; Xiao Wang; Yi Tay; Siamak Shakeri; Mostafa Dehghani; Daniel Salz; Mario Lučić; Michael Tschannen; Arsha Nagrani; Hexiang Hu; Mandar Joshi; Bo Pang; Ceslee Montgomery; Paulina Pietrzyk; Marvin Ritter; AJ Piergiovanni; Matthias Minderer; Filip Pavetic; Austin R. Waters; Gang Li; Ibrahim Alabdulmohsin; Lucas Beyer; Julien Amelot; Kenton Lee; Andreas Peter Steiner; Yang Li; Daniel Keysers; Anurag Arnab; Yuanzhong Xu; Keran Rong; А. И. Колесников; Mojtaba Seyedhosseini; Anelia Angelova; Xiaohua Zhai; Neil Houlsby; Radu Soricut","2024","","","fairface-citing"
"Uncurated Image-Text Datasets: Shedding Light on Demographic Bias","Noa García; Yusuke Hirota; Yankun Wu; Yuta Nakashima","2023","","","fairface-citing"
"Toward Real-World Blind Face Restoration With Generative Diffusion Prior","Xiaoxu Chen; Jingfan Tan; Tao Wang; Kaihao Zhang; Wenhan Luo; Xiaochun Cao","2024","IEEE Transactions on Circuits and Systems for Video Technology","","fairface-citing"
"Auditing and instructing text-to-image generation models on fairness","Felix Friedrich; Manuel Brack; Lukas Struppek; Dominik Hintersdorf; Patrick Schramowski; Sasha Luccioni; Kristian Kersting","2024","AI and Ethics","","fairface-citing"
"Privacy-Enhancing Face Obfuscation Guided by Semantic-Aware Attribution Maps","Jingzhi Li; Hua Zhang; Siyuan Liang; Pengwen Dai; Xiaochun Cao","2023","IEEE Transactions on Information Forensics and Security","","fairface-citing"
"Studying Bias in GANs Through the Lens of Race","Vongani H. Maluleke; Neerja Thakkar; Tim Brooks; Ethan Weber; Trevor Darrell; Alexei A. Efros; Angjoo Kanazawa; Devin Guillory","2022","Lecture notes in computer science","","fairface-citing"
"On responsible machine learning datasets emphasizing fairness, privacy and regulatory norms with examples in biometrics and healthcare","Surbhi Mittal; Kartik Thakral; Richa Singh; Mayank Vatsa; Tamar Glaser; Cristian Canton Ferrer; Tal Hassner","2024","Nature Machine Intelligence","","fairface-citing"
"Stereotypes, disproportions, and power asymmetries in the visual portrayal of migrants in ten countries: an interdisciplinary AI-based approach","Juan Sebastián Olier; Camilla Spadavecchia","2022","Humanities and Social Sciences Communications","","fairface-citing"
"DeAR: Debiasing Vision-Language Models with Additive Residuals","Ashish Seth; Mayur Hemani; Chirag Agarwal","2023","","","fairface-citing"
"Open-Source Face Recognition Frameworks: A Review of the Landscape","David Wanyonyi; Turgay Çelik","2022","IEEE Access","","fairface-citing"
"Digital Face Manipulation Creation and Detection: A Systematic Review","Minh Hoang Dang; Tan N. Nguyen","2023","Electronics","","fairface-citing"
"OpenBias: Open-Set Bias Detection in Text-to-Image Generative Models","Moreno D’Incà; Elia Peruzzo; Massimiliano Mancini; Dejia Xu; Vidit Goe; Xingqian Xu; Zhangyang Wang; Humphrey Shi; Nicu Sebe","2024","","","fairface-citing"
"AI-generated faces influence gender stereotypes and racial homogenization","Nouar AlDahoul; Talal Rahwan; Yasir Zaki","2025","Scientific Reports","","fairface-citing"
"FACET: Fairness in Computer Vision Evaluation Benchmark","Laura Gustafson; Chloe Rolland; Nikhila Ravi; Quentin Duval; Aaron Adcock; Cheng-Yang Fu; Melissa Hall; Candace Ross","2023","","","fairface-citing"
"Skin Type Diversity in Skin Lesion Datasets: A Review","Neda Alipour; Ted Burke; Jane Courtney","2024","Current Dermatology Reports","","fairface-citing"
"Detecting hate speech in memes: a review","Paulo Hermida; Eulanda M. dos Santos","2023","Artificial Intelligence Review","","fairface-citing"
"Automatic Ethnicity Classification from Middle Part of the Face Using Convolutional Neural Networks","David Belcar; Petra Grd; Igor Tomičić","2022","Informatics","","fairface-citing"
"Bias-Eliminating Augmentation Learning for Debiased Federated Learning","Yuan-Yi Xu; Ci-Siang Lin; Yu-Chiang Frank Wang","2023","","","fairface-citing"
"Emotion-Aware Multimodal Fusion for Meme Emotion Detection","Shivam Sharma; S Ramaneswaran; Md Shad Akhtar; Tanmoy Chakraborty","2024","IEEE Transactions on Affective Computing","","fairface-citing"
"ViPER","Lorenzo Vaiani; Moreno La Quatra; Luca Cagliero; Paolo Garza","2022","","","fairface-citing"
"MemeFier: Dual-stage Modality Fusion for Image Meme Classification","Christos Koutlis; Manos Schinas; Symeon Papadopoulos","2023","","","fairface-citing"
"Unsupervised Concept Drift Detection From Deep Learning Representations in Real-Time","Salvatore Greco; Bartolomeo Vacchetti; Daniele Apiletti; Tania Cerquitelli","2025","IEEE Transactions on Knowledge and Data Engineering","","fairface-citing"
"Mirror, Mirror on the Wall, Who Is the <i>Whitest</i> of All? Racial Biases in Social Media Beauty Filters","Piera Riccio; Julien Colin; Shirley Ogolla; Nuria Oliver","2024","Social Media + Society","","fairface-citing"
"Saliency-based metric and FaceKeepOriginalAugment: a novel approach for enhancing fairness and Diversity","Teerath Kumar; Alessandra Mileo; Malika Bendechache","2025","Multimedia Systems","","fairface-citing"
"Algorithmic bias, fairness, and inclusivity: a multilevel framework for justice-oriented AI","Paola Panarese; Marco Grasso; Claudia Solinas","2025","AI & Society","","fairface-citing"
"Uncovering labeler bias in machine learning annotation tasks","Luke Haliburton; Jan Leusmann; Robin Welsch; Sinksar Ghebremedhin; Petros Isaakidis; Albrecht Schmidt; Sven Mayer","2024","AI and Ethics","","fairface-citing"
"Adaptive Temperature Distillation method for mining hard samples’ knowledge","Shunzhi Yang; Xiong Yang; Jin Ren; Liuchi Xu; Jinfeng Yang; Zhenhua Huang; Zheng Gong; Wenguang Wang","2025","Neurocomputing","","fairface-citing"
"Surveying Racial Bias in Facial Recognition: Balancing Datasets and Algorithmic Enhancements","Andrew Sumsion; Shad Torrie; Dah-Jye Lee; Zheng Sun","2024","Electronics","","fairface-citing"
"Facesaliencyaug: mitigating geographic, gender and stereotypical biases via saliency-based data augmentation","Teerath Kumar; Alessandra Mileo; Malika Bendechache","2024","Signal Image and Video Processing","","fairface-citing"
"Out of dataset, out of algorithm, out of mind: a critical evaluation of AI bias against disabled people","Rohan Manzoor; Wajahat Hussain; Muhammad Latif Anjum","2024","AI & Society","","fairface-citing"
"Quantifying Bias in Text-to-Image Generative Models","J Kerekes Vice; Naveed Akhtar; Richard Hartley; Ajmal Mian","2025","IEEE Transactions on Dependable and Secure Computing","","fairface-citing"
"Developing quality standards for community-based online child sexual exploitation and abuse interventions","Larissa Engelmann; Christine A. Weirich; Corinne May‐Chahal","2025","Child Abuse & Neglect","","fairface-citing"
"Deepfake Videos in the Wild: Analysis and Detection","Jiameng Pu; Neal Mangaokar; Lauren Kelly; Parantapa Bhattacharya; Kavya Sundaram; Mobin Javed; Bolun Wang; Bimal Viswanath","2021","","","fairface-citing"
"GRA-GAN: Generative adversarial network for image style transfer of Gender, Race, and age","Yu Hwan Kim; Se Hyun Nam; Seung Baek Hong; Kang Ryoung Park","2022","Expert Systems with Applications","","fairface-citing"
"It's Time for Artistic Correspondence in Music and Video","Dídac Surís; Carl Vondrick; Bryan Russell; Justin Salamon","2022","2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)","","fairface-citing"
"GBDF: Gender Balanced DeepFake Dataset Towards Fair DeepFake Detection","Aakash Varma Nadimpalli; Ajita Rattani","2023","Lecture notes in computer science","","fairface-citing"
"A Step Toward More Inclusive People Annotations for Fairness","Candice Schumann; Susanna Ricco; Utsav Prabhu; Vittorio Ferrari; Caroline Pantofaru","2021","","","fairface-citing"
"GazeOnce: Real-Time Multi-Person Gaze Estimation","Mingfang Zhang; Yunfei Liu; Feng Lu","2022","2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)","","fairface-citing"
"Understanding Potential Sources of Harm throughout the Machine Learning Life Cycle","Harini Suresh; John V. Guttag","2021","","","fairface-citing"
"FairGRAPE: Fairness-Aware GRAdient Pruning mEthod for Face Attribute Classification","Xiaofeng Lin; Seungbae Kim; Jungseock Joo","2022","Lecture notes in computer science","","fairface-citing"
"Markedness in Visual Semantic AI","Robert E. Wolfe; Aylin Caliskan","2022","2022 ACM Conference on Fairness, Accountability, and Transparency","","fairface-citing"
"DISARM: Detecting the Victims Targeted by Harmful Memes","Shivam Sharma; Md Shad Akhtar; Preslav Nakov; Tanmoy Chakraborty","2022","Findings of the Association for Computational Linguistics: NAACL 2022","","fairface-citing"
"Measuring Hidden Bias within Face Recognition via Racial Phenotypes","Şeyma Yücer; Furkan Tektas; Noura Al Moubayed; Toby P. Breckon","2022","2022 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV)","","fairface-citing"
"Learning Fair Classifiers with Partially Annotated Group Labels","Sangwon Jung; Sanghyuk Chun; Taesup Moon","2022","2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)","","fairface-citing"
"Complex Daily Activities, Country-Level Diversity, and Smartphone Sensing: A Study in Denmark, Italy, Mongolia, Paraguay, and UK","K. C. Assi; Lakmal Meegahapola; William Droz; Péter Kun; Amalia de Götzen; Miriam Bidoglia; Sally Stares; George Gaskell; Altangerel Chagnaa; Amarsanaa Ganbold; Tsolmon Zundui; Carlo Caprini; Daniele Miorandi; José Luis Zarza; Alethia Hume; Luca Cernuzzi; Ivano Bison; Marcelo Rodas Britez; Matteo Busso; Ronald Chenú-Abente; Fausto Giunchiglia; Daniel Gática-Pérez","2023","","","fairface-citing"
"HiFace: High-Fidelity 3D Face Reconstruction by Learning Static and Dynamic Details","Zenghao Chai; Tianke Zhang; Tianyu He; Xu Tan; Tadas Baltrušaitis; HsiangTao Wu; Runnan Li; Sheng Zhao; Chun Yuan; Jiang Bian","2023","","","fairface-citing"
"Balancing Biases and Preserving Privacy on Balanced Faces in the Wild","Joseph P. Robinson; Can Qin; Yann Henon; Samson Timoner; Yun Fu","2023","IEEE Transactions on Image Processing","","fairface-citing"
"Beyond Algorithmic Bias: A Socio-Computational Interrogation of the Google Search by Image Algorithm","Orestis Papakyriakopoulos; Arwa Michelle Mboya","2022","Social Science Computer Review","","fairface-citing"
"Seeing without Looking: Analysis Pipeline for Child Sexual Abuse Datasets","Camila Laranjeira da Silva; João Macedo; Sandra Avila; Jefersson Dos Santos","2022","2022 ACM Conference on Fairness, Accountability, and Transparency","","fairface-citing"
"Enhancing Fairness in Face Detection in Computer Vision Systems by Demographic Bias Mitigation","Yu Yang; Aayush Gupta; Jianwei Feng; Prateek Singhal; Vivek Yadav; Yue Wu; Pradeep Natarajan; Varsha Hedau; Jungseock Joo","2022","","","fairface-citing"
"Deep Learning-Based Gender Classification by Training With Fake Data","Mohamed Oulad-Kaddour; Hamid Haddadou; Cristina Conde; Daniel Palacios‐Alonso; Karima Benatchba; Enrique Cabello","2023","IEEE Access","","fairface-citing"
"Beyond Skin Tone: A Multidimensional Measure of Apparent Skin Color","William Thong; Przemyslaw Joniak; Alice Xiang","2023","","","fairface-citing"
